P_d,dbic,dbic_berv
15.9894,-4.733,-4.966
16.0135,-4.336,-4.872
16.0377,-3.841,-4.780
16.0619,-3.297,-4.692
16.0861,-2.774,-4.613
16.1104,-2.350,-4.550
16.1347,-2.076,-4.511
16.1590,-1.964,-4.500
16.1834,-1.994,-4.519
16.2078,-2.124,-4.567
16.2323,-2.314,-4.643
16.2568,-2.528,-4.745
16.2813,-2.743,-4.871
16.3059,-2.941,-5.020
16.3305,-3.116,-5.185
16.3551,-3.266,-5.355
16.3798,-3.398,-5.510
16.4045,-3.528,-5.621
16.4293,-3.674,-5.659
16.4541,-3.848,-5.602
16.4789,-4.050,-5.450
16.5038,-4.270,-5.224
16.5287,-4.488,-4.957
16.5536,-4.684,-4.682
16.5786,-4.840,-4.420
16.6036,-4.939,-4.179
16.6286,-4.964,-3.961
16.6537,-4.897,-3.763
16.6789,-4.720,-3.578
16.7040,-4.421,-3.403
16.7292,-3.993,-3.233
16.7545,-3.444,-3.068
16.7798,-2.807,-2.912
16.8051,-2.133,-2.773
16.8304,-1.494,-2.664
16.8558,-0.963,-2.596
16.8813,-0.594,-2.580
16.9067,-0.417,-2.619
16.9323,-0.426,-2.708
16.9578,-0.599,-2.841
16.9834,-0.897,-3.007
17.0090,-1.283,-3.198
17.0347,-1.722,-3.406
17.0604,-2.186,-3.625
17.0861,-2.654,-3.852
17.1119,-3.109,-4.082
17.1377,-3.541,-4.312
17.1636,-3.940,-4.540
17.1895,-4.302,-4.759
17.2154,-4.624,-4.965
17.2414,-4.903,-5.152
17.2674,-5.139,-5.312
17.2935,-5.330,-5.441
17.3196,-5.477,-5.533
17.3457,-5.581,-5.586
17.3719,-5.642,-5.599
17.3981,-5.665,-5.576
17.4243,-5.654,-5.521
17.4506,-5.614,-5.437
17.4770,-5.550,-5.330
17.5033,-5.467,-5.201
17.5297,-5.371,-5.053
17.5562,-5.267,-4.883
17.5827,-5.158,-4.691
17.6092,-5.050,-4.474
17.6358,-4.948,-4.232
17.6624,-4.857,-3.965
17.6890,-4.783,-3.674
17.7157,-4.730,-3.367
17.7425,-4.703,-3.053
17.7692,-4.705,-2.744
17.7960,-4.736,-2.455
17.8229,-4.793,-2.198
17.8498,-4.871,-1.984
17.8767,-4.964,-1.817
17.9037,-5.066,-1.695
17.9307,-5.170,-1.614
17.9578,-5.272,-1.568
17.9849,-5.368,-1.551
18.0120,-5.455,-1.560
18.0392,-5.531,-1.597
18.0664,-5.593,-1.667
18.0937,-5.637,-1.779
18.1210,-5.661,-1.943
18.1483,-5.664,-2.164
18.1757,-5.646,-2.442
18.2031,-5.609,-2.768
18.2306,-5.557,-3.125
18.2581,-5.495,-3.492
18.2856,-5.427,-3.850
18.3132,-5.357,-4.182
18.3409,-5.289,-4.479
18.3685,-5.224,-4.735
18.3963,-5.161,-4.946
18.4240,-5.100,-5.115
18.4518,-5.039,-5.241
18.4797,-4.974,-5.327
18.5075,-4.902,-5.375
18.5355,-4.820,-5.387
18.5634,-4.724,-5.369
18.5914,-4.612,-5.324
18.6195,-4.487,-5.259
18.6476,-4.352,-5.180
18.6757,-4.215,-5.097
18.7039,-4.085,-5.017
18.7321,-3.973,-4.947
18.7604,-3.890,-4.890
18.7887,-3.844,-4.848
18.8171,-3.840,-4.817
18.8455,-3.880,-4.792
18.8739,-3.960,-4.766
18.9024,-4.074,-4.737
18.9309,-4.214,-4.700
18.9595,-4.371,-4.655
18.9881,-4.537,-4.601
19.0167,-4.703,-4.542
